K,Rem,prandtl,nusselt
0.6,2824.60456124336,0.7098432182922563,61.165728434277874
0.6,2824.60456124336,0.7098428562776609,52.824696257199896
0.6,2352.302464547476,0.7098424942666844,50.52773022241372
0.6,2000.632597049047,0.7098421322593266,48.42217802605255
0.6,1878.7356038765986,0.7098416495884786,48.421871224526676
0.6,1770.5533412400448,0.7098412875895644,46.48477548094471
0.6,1657.004799801697,0.7098409255942689,41.504066596807974
0.6,2824.514483228409,0.7098420115910113,58.842047180212916
0.6,2824.514483228409,0.709840684266082,55.3385801522889
0.6,2352.1674369819034,0.7098392363307334,51.64835976033221
0.6,2000.46033766802,0.7098376677994361,48.92901752630388
0.6,1878.5139304849076,0.7098359786878646,46.951046397979205
0.6,1770.2879738127413,0.7098342896550813,46.95000531689838
0.6,1656.698330985831,0.7098327213380399,43.036618753388346
0.6,2824.352349175738,0.7098398396300928,59.76500390153496
0.6,2824.352349175738,0.7098370645362585,55.04470878774955
0.6,2351.94240620551,0.7098339277297349,51.265019571802185
0.6,2000.1796466587575,0.7098304293045495,49.09663692000024
0.6,1878.1545090715472,0.7098266899824212,46.27022238027258
0.6,1769.8532986001062,0.7098228304420464,46.267877625316736
0.6,1656.1964640130716,0.709819333088952,43.0290541340675
0.6,2824.145189811766,0.7098370645362585,59.977030363711606
0.6,2824.145189811766,0.7098318768877683,55.49735278437443
0.6,2351.619895148723,0.7098262075173728,51.35422475470341
0.6,1999.77143072698,0.7098201772466958,49.17660697550926
0.6,1877.6454323740375,0.7098136656824184,46.00784163391018
0.6,1769.2437825888485,0.7098067936351141,46.11784267339578
0.6,1655.4940750860337,0.7098004050071794,43.21844455849266
0.6,2823.865996184778,0.709833324528863,59.97512145096309
0.6,2823.865996184778,0.7098253632190086,55.399797330871806
0.6,2351.214936413719,0.7098165595663822,51.199879537428934
0.6,1999.2612639514948,0.7098069141861039,49.1179865924038
0.6,1876.9868075396344,0.7097966687852033,46.222472735732616
0.6,1768.448303635553,0.7097859443554935,46.14260260245941
0.6,1654.580833652547,0.7097760662330262,43.124728611509816
0.6,2823.523791986788,0.709828740530605,59.90698912699338
0.6,2823.523791986788,0.7098172830735229,55.38185991555659
0.6,2350.712572950851,0.7098046237859548,51.238342610242825
